year,region,generation_twh,baseline_emission_factor_gco2_kwh,nuclear_emission_factor_gco2_kwh,avoided_emissions_mtco2,baseline_scenario
2025,Americas,971.47086,655.0,12,624655.76298,regional
2026,Americas,971.478306,655.0,12,624660.550758,regional
2027,Americas,981.977166,655.0,12,631411.317738,regional
2028,Americas,1002.48345,655.0,12,644596.85835,regional
2029,Americas,1020.37794,655.0,12,656103.01542,regional
2030,Americas,999.103842,655.0,12,642423.770406,regional
2031,Americas,990.098562,655.0,12,636633.375366,regional
2032,Americas,973.882926,655.0,12,626206.721418,regional
2033,Americas,934.364814,655.0,12,600796.575402,regional
2034,Americas,869.608266,655.0,12,559158.115038,regional
2035,Americas,826.312842,655.0,12,531319.157406,regional
2036,Americas,818.4971700000001,655.0,12,526293.6803100001,regional
2037,Americas,786.338334,655.0,12,505615.548762,regional
2038,Americas,761.5352700000001,655.0,12,489667.17861000006,regional
2039,Americas,754.2741060000001,655.0,12,484998.25015800004,regional
2040,Americas,722.8879019999999,655.0,12,464816.920986,regional
2041,Americas,696.366126,655.0,12,447763.419018,regional
2042,Americas,680.062014,655.0,12,437279.875002,regional
2043,Americas,650.4497100000001,655.0,12,418239.1635300001,regional
2044,Americas,585.044046,655.0,12,376183.321578,regional
2045,Americas,514.285146,655.0,12,330685.34887800005,regional
2046,Americas,441.074322,655.0,12,283610.789046,regional
2047,Americas,387.63657,655.0,12,249250.31451,regional
2048,Americas,326.251746,655.0,12,209779.872678,regional
2049,Americas,305.887374,655.0,12,196685.581482,regional
2050,Americas,262.619982,655.0,12,168864.648426,regional
2025,Asia,1149.911622,721.0,12,815287.339998,regional
2026,Asia,1232.917002,721.0,12,874138.154418,regional
2027,Asia,1303.3636080000003,721.0,12,924084.7980720002,regional
2028,Asia,1383.7804080000003,721.0,12,981100.3092720001,regional
2029,Asia,1469.789154,721.0,12,1042080.510186,regional
2030,Asia,1489.8933540000005,721.0,12,1056334.3879860004,regional
2031,Asia,1573.3853519999998,721.0,12,1115530.2145679998,regional
2032,Asia,1597.584852,721.0,12,1132687.660068,regional
2033,Asia,1608.009252,721.0,12,1140078.559668,regional
2034,Asia,1601.497068,721.0,12,1135461.421212,regional
2035,Asia,1635.193284,721.0,12,1159352.038356,regional
2036,Asia,1628.6811,721.0,12,1154734.8999,regional
2037,Asia,1633.1487000000002,721.0,12,1157902.4283000003,regional
2038,Asia,1633.1487000000002,721.0,12,1157902.4283000003,regional
2039,Asia,1633.1487000000002,721.0,12,1157902.4283000003,regional
2040,Asia,1633.1487000000002,721.0,12,1157902.4283000003,regional
2041,Asia,1631.5719,721.0,12,1156784.4771,regional
2042,Asia,1631.5719,721.0,12,1156784.4771,regional
2043,Asia,1626.202896,721.0,12,1152977.853264,regional
2044,Asia,1619.186136,721.0,12,1148002.970424,regional
2045,Asia,1590.165132,721.0,12,1127427.078588,regional
2046,Asia,1572.102888,721.0,12,1114620.947592,regional
2047,Asia,1564.029672,721.0,12,1108897.037448,regional
2048,Asia,1556.035296,721.0,12,1103229.024864,regional
2049,Asia,1548.0645719999998,721.0,12,1097577.781548,regional
2050,Asia,1548.0645719999998,721.0,12,1097577.781548,regional
2025,Europe,1258.3052340000002,589.0,12,726042.1200180001,regional
2026,Europe,1258.454154,589.0,12,726128.046858,regional
2027,Europe,1258.603074,589.0,12,726213.973698,regional
2028,Europe,1263.763152,589.0,12,729191.338704,regional
2029,Europe,1282.8818520000002,589.0,12,740222.8286040002,regional
2030,Europe,1388.912892,589.0,12,801402.738684,regional
2031,Europe,1395.0632879999998,589.0,12,804951.5171759998,regional
2032,Europe,1430.62626,589.0,12,825471.35202,regional
2033,Europe,1458.02754,589.0,12,841281.89058,regional
2034,Europe,1462.0002,589.0,12,843574.1154,regional
2035,Europe,1505.165976,589.0,12,868480.768152,regional
2036,Europe,1548.352776,589.0,12,893399.551752,regional
2037,Europe,1579.271196,589.0,12,911239.480092,regional
2038,Europe,1588.206396,589.0,12,916395.090492,regional
2039,Europe,1550.465688,589.0,12,894618.701976,regional
2040,Europe,1515.034992,589.0,12,874175.190384,regional
2041,Europe,1421.444028,589.0,12,820173.204156,regional
2042,Europe,1407.449928,589.0,12,812098.608456,regional
2043,Europe,1342.635564,589.0,12,774700.720428,regional
2044,Europe,1270.7492519999998,589.0,12,733222.3184039999,regional
2045,Europe,1157.70846,589.0,12,667997.78142,regional
2046,Europe,1078.3954199999998,589.0,12,622234.1573399999,regional
2047,Europe,1010.71128,589.0,12,583180.40856,regional
2048,Europe,916.7576519999998,589.0,12,528969.1652039998,regional
2049,Europe,835.3317,589.0,12,481986.3909,regional
2050,Europe,816.0632039999999,589.0,12,470868.4687079999,regional
2025,Africa,15.29496,688.0,12,10339.39296,regional
2026,Africa,24.23016,688.0,12,16379.58816,regional
2027,Africa,24.23016,688.0,12,16379.58816,regional
2028,Africa,24.23016,688.0,12,16379.58816,regional
2029,Africa,51.03576,688.0,12,34500.17376,regional
2030,Africa,51.03576,688.0,12,34500.17376,regional
2031,Africa,58.48176,688.0,12,39533.66976,regional
2032,Africa,58.48176,688.0,12,39533.66976,regional
2033,Africa,58.48176,688.0,12,39533.66976,regional
2034,Africa,73.37376,688.0,12,49600.66176,regional
2035,Africa,95.71176,688.0,12,64701.14976,regional
2036,Africa,95.71176,688.0,12,64701.14976,regional
2037,Africa,95.71176,688.0,12,64701.14976,regional
2038,Africa,95.71176,688.0,12,64701.14976,regional
2039,Africa,95.71176,688.0,12,64701.14976,regional
2040,Africa,95.71176,688.0,12,64701.14976,regional
2041,Africa,95.71176,688.0,12,64701.14976,regional
2042,Africa,95.71176,688.0,12,64701.14976,regional
2043,Africa,95.71176,688.0,12,64701.14976,regional
2044,Africa,88.06428,688.0,12,59531.45328,regional
2045,Africa,80.4168,688.0,12,54361.7568,regional
2046,Africa,80.4168,688.0,12,54361.7568,regional
2047,Africa,80.4168,688.0,12,54361.7568,regional
2048,Africa,80.4168,688.0,12,54361.7568,regional
2049,Africa,80.4168,688.0,12,54361.7568,regional
2050,Africa,80.4168,688.0,12,54361.7568,regional
