Status,total_capacity_mw,annual_generation_twh,unit_count,capacity_factor,total_capacity_gw
operating,401341.0,3164.172444,421,0.9000000000000001,401.341
cancelled,327662.5,2439.774975,312,0.85,327.6625
cancelled - inferred 4 y,238158.0,1773.3244679999998,232,0.85,238.158
announced,175000.0,1303.05,290,0.85,175.0
retired,115895.8,862.9601268,227,0.85,115.89580000000001
pre-construction,107092.0,797.407032,140,0.85,107.092
construction,81565.0,607.33299,76,0.85,81.565
mothballed,20927.0,155.822442,25,0.85,20.927
shelved,18787.0,139.888002,15,0.85,18.787
shelved - inferred 2 y,9725.0,72.41235,11,0.85,9.725
