Region,Subregion,total_capacity_mw,annual_generation_twh,unit_count,capacity_factor,total_capacity_gw
Asia,Eastern Asia,517465.0,3897.381816,485,0.8602061855670103,517.465
Americas,Northern America,357015.3,2709.6274758,460,0.8622826086956521,357.01529999999997
Europe,Eastern Europe,202851.0,1535.373522,280,0.8628571428571429,202.851
Europe,Western Europe,143425.0,1100.089998,152,0.8720394736842106,143.425
Europe,Northern Europe,72172.0,545.425632,119,0.8584033613445378,72.172
Asia,Southern Asia,67004.0,504.505044,90,0.8655555555555556,67.004
Africa,Sub-Saharan Africa,35164.0,262.680864,42,0.8523809523809524,35.164
Asia,Western Asia,28544.0,215.217432,25,0.86,28.544
Europe,Southern Europe,22586.0,171.738486,27,0.8648148148148148,22.586
Asia,South-eastern Asia,19161.0,142.672806,25,0.85,19.161
Americas,Latin America and the Caribbean,13436.0,102.392574,21,0.8666666666666666,13.436
Asia,Central Asia,12530.0,93.29838,19,0.85,12.53
Africa,Northern Africa,4800.0,35.7408,4,0.85,4.8
